Student_ID,Student Full Name,Class,Section,Gender,Telugu,Hindi,English,Maths,Science,Social,Total_Marks,Percentage,Status (Pass/Fail)
STU0001,Rahul Prasad,7,B,Male,32,28,84,26,90,69,329,54.83,Fail
STU0002,Rahul Sharma,7,B,Male,79,92,18,86,40,98,413,68.83,Fail
STU0003,Mounika Goud,10,C,Female,15,35,69,58,50,34,261,43.5,Fail
STU0004,Pavan Murthy,6,A,Male,63,27,60,59,92,48,349,58.17,Fail
STU0005,Charan Goud,10,A,Male,63,25,85,52,95,94,414,69.0,Fail
STU0006,Tejaswi Varma,6,A,Female,99,44,52,25,44,27,291,48.5,Fail
STU0007,Bhavani Goud,8,B,Female,62,60,41,100,49,97,409,68.17,Pass
STU0008,Manoj Gupta,10,B,Male,35,74,63,49,96,86,403,67.17,Pass
STU0009,Varun Murthy,6,B,Male,19,55,66,49,23,42,254,42.33,Fail
STU0010,Sravani Raju,9,D,Female,33,48,32,46,86,83,328,54.67,Fail
STU0011,Vaishali Iyer,9,D,Female,61,43,32,80,78,26,320,53.33,Fail
STU0012,Sai Kumar,7,B,Male,69,91,23,64,63,91,401,66.83,Fail
STU0013,Manasa Prasad,10,A,Female,29,83,49,97,58,29,345,57.5,Fail
STU0014,Jyothi Gupta,9,A,Female,48,79,37,79,28,95,366,61.0,Fail
STU0015,Rithika Shetty,10,B,Female,34,62,35,84,82,15,312,52.0,Fail
STU0016,Anusha Reddy,6,C,Female,54,45,22,45,87,25,278,46.33,Fail
STU0017,Charan Raju,6,B,Male,31,99,75,85,36,48,374,62.33,Fail
STU0018,Sravani Das,7,C,Female,66,100,98,62,71,81,478,79.67,Pass
STU0019,Keerthi Chand,7,A,Female,58,17,90,85,44,90,384,64.0,Fail
STU0020,Rahul Sharma,6,B,Male,23,19,57,24,80,45,248,41.33,Fail
STU0021,Pranavi Raju,7,B,Female,88,88,75,46,75,67,439,73.17,Pass
STU0022,Arun Kumar,9,C,Male,69,67,74,21,98,97,426,71.0,Fail
STU0023,Venkat Singh,8,A,Male,46,39,39,83,72,32,311,51.83,Fail
